Name , RA (J2000) , Dec (J2000) , Disc. Date , Disc. source , Disc. Mag , Redshift , Type , Phase , Notes 
LSQ12btn , 09:21:30.50 , -09:41:29:76 ,2012-04-08, LSQ ,18.25,0.05, Ia , -2:-3 , 
LSQ12btw , 10:10:28.82 , 05:32:12.48 ,2012-04-09,LSQ ,19.14,0.0571, Ibn , +15 , 06jc-like
LSQ12brx , 10:17:59.90 ,-05:36:10.80 ,2012-04-07, LSQ ,17.62,0.054, Ia , +5 , 06N 
LSQ12bry , 10:16:38.57 ,-06:46:35:76 ,2012-04-07, LSQ ,17.27,0.042, IIn , young? , 
LSQ12brw , 10:20:43.38 ,-04:33:20.88 ,2012-04-07, LSQ ,17.45,0.04, Ia , +19 , 
LSQ12bnt , 12:51:32.23 , 04:01:25.68 ,2012-04-01, LSQ ,19.58,0.129, Ia , +8 , 
LSQ12brb , 14:14:52.87 , 20:09:06.48 ,2012-04-04, LSQ ,17.91,0.081, Ia , +8 , 
LSQ12bpg , 15:07:31.61 , 20:33:00.36 ,2012-03-31, LSQ ,19.07,0.076, Ia , +4 , 
LSQ12bpy , 13:36:40.37 ,-21:51:15.48 ,2012-03-29, LSQ ,20.44,0.11, Ia , -1 , 
LSQ12biu , 14:19:20.65 , -19:50:37.07 ,2012-03-21, LSQ ,19.39,0.136, IIn , ~50 , long rise 
LSQ12bpr , 15:47:21.48 ,-03:32:36.92 ,2012-04-02, LSQ ,19.77,0.102, Ia , +12 , 
LSQ12bri ,13:35:48.34 , -21:23:53.5 ,2012-04-06, LSQ ,17.08,0.03, II ,+2 , 
LSQ12brs , 13:51:17.40 , -11:55:25.3 ,2012-04-06, LSQ ,17.7,0.065, Ia , +8 ,
SNhunt119 , 06:51:13.03 , -30:24:58.68 ,2012-03-23, CRTS , unkn. ,0.025, II, few weeks after explosion ,
LSQ12bgl , 10:47:46.74 , -06:04:20.64 ,2012-03-17, LSQ ,18.83,0.091, Ia, +19-19.6 at max ,
LSQ12bia , 10:28:33.79 , -10:34:41.52 ,2012-03-19, LSQ ,18.29,0.053, Ia,14,
LSQ12bph , 15:47:32.42 , +23:04:46.38 ,2012-04-01, LSQ ,19.25,0.045, Ic, +15 similar to 02ap, low S/N 
LSQ12bpo , 11:23:34.49 , -12:23:58.9 ,2012-04-02, LSQ ,19.43,0.12, Ia,4,
LSQ12blb, 14:47:58.13 , +17:32:05.6 ,2012-03-27,LSQ ,18.3,0.052, IIP, ~4 weeks , M=-18.4; host Mr=-21.6 
LSQ12bmn, 14:27:11.30 , +18:35:24.4 ,2012-03-30,LSQ ,18.1,0.083, Ia , +16d , host Mr=-18.7 
LSQ12bve, 12:40:58.32 , -05:21:49.0 ,2012-04-15,LSQ ,18.8,0.08, Ia , +16d , host Mr=-16.9 
